Individual_ID,matches,photos,ss_agerangemax,ss_agerangemin,age,attractiveness
29904,10,10,32,22,24,44
13523,4,7,44,30,34,27
400597,1,1,50,37,41,36
182549,4,5,43,27,38,38
163665,1,3,83,56,62,29
56376,1,10,48,35,38,38
219772,2,5,35,21,34,44
390098,2,2,26,20,26,38
58806,10,12,40,29,34,42
158987,3,1,69,47,53,28
115070,8,6,62,50,63,41
40611,3,2,61,42,46,27
155573,2,12,45,35,36,35
251234,9,2,41,28,40,40
47904,6,5,32,25,25,35
384415,19,7,35,26,29,47
3871,13,7,45,25,43,45
60627,10,10,31,21,36,43
155548,2,5,43,29,33,37
321718,3,12,47,32,45,45
156076,5,11,37,27,30,38
250619,2,4,41,28,31,34
49231,4,8,41,28,31,38
182572,5,3,50,40,54,43
38503,4,12,41,28,37,36
35365,6,2,45,18,38,30
182575,1,5,36,25,34,38
182576,3,5,48,39,46,29
109731,2,4,35,24,26,34
161642,5,3,39,26,28,35
82273,2,7,48,39,42,36
182581,2,12,35,24,27,41
51839,3,7,25,18,24,33
225238,11,3,48,22,32,0
90502,6,6,29,20,27,42
91219,14,12,35,27,28,37
3073,56,4,37,26,39,40
408873,9,12,36,18,29,37
242234,1,11,55,39,44,42
244063,8,8,36,25,28,41
409798,1,3,36,25,34,43
368793,8,12,47,32,35,39
281604,7,5,29,22,29,40
324554,7,7,45,33,34,30
390087,3,5,30,20,27,41
113221,4,9,75,40,70,38
251745,1,7,50,30,36,38
55577,13,1,34,22,31,41
407367,1,2,37,28,29,21
226049,7,10,70,55,65,37
293593,3,4,49,21,28,31
95407,5,2,29,20,26,33
132282,1,2,51,35,38,31
182608,2,0,37,29,39,20
349632,4,7,33,23,25,29
153334,9,5,38,27,31,36
390079,2,4,45,22,47,48
62911,1,5,31,25,29,26
88229,1,11,32,24,28,40
161163,1,2,32,22,29,37
182616,2,9,55,38,42,36
241965,2,3,35,25,25,31
63573,22,6,40,26,26,33
182621,7,3,55,38,50,39
284688,2,4,40,30,38,33
201758,5,7,53,33,40,38
148945,11,6,40,28,28,28
326159,4,8,29,22,28,33
182627,9,4,45,28,40,49
182628,16,6,35,27,47,41
396573,7,8,28,21,31,45
182630,1,12,66,48,65,46
344307,16,10,37,25,29,36
371988,5,2,59,41,54,33
182633,1,1,58,30,54,37
390075,9,5,37,22,21,36
201602,7,6,31,24,26,46
73852,1,8,32,24,29,41
364417,3,1,45,30,42,45
140163,1,10,52,28,37,36
158014,2,12,55,40,47,37
107060,1,1,55,41,45,35
221979,1,11,38,26,26,46
119878,4,2,37,25,28,28
218842,2,4,22,18,20,40
153679,15,5,65,45,49,38
171741,1,4,32,22,31,39
328983,1,11,26,18,22,40
28721,6,3,34,23,34,26
254758,2,8,65,40,46,35
391917,1,5,32,22,27,37
1569,4,3,43,36,36,40
329987,4,5,45,30,31,20
318524,4,1,63,52,56,37
39226,22,2,40,27,30,40
63851,19,6,38,27,37,42
273264,3,9,59,47,55,40
283735,8,1,27,18,20,39
182665,7,8,47,30,41,41
390066,9,1,45,30,38,34
153292,4,4,45,32,49,42
309297,1,6,32,22,29,35
182669,3,0,50,36,41,33
225088,10,4,49,34,37,27
403367,3,1,59,41,54,18
96236,6,4,46,30,45,33
157541,3,11,50,34,48,46
214742,3,11,27,20,25,33
350948,4,3,41,28,31,38
317827,10,9,39,26,29,46
158330,3,4,41,31,40,38
265905,10,5,56,38,51,45
245170,5,0,53,36,43,33
285621,2,7,56,38,45,43
397583,2,3,27,21,25,27
185639,7,5,28,22,26,43
397065,2,1,52,38,43,28
54933,2,6,59,50,51,42
182687,6,4,35,28,30,43
15780,17,1,38,28,33,41
182689,3,1,40,33,36,34
182690,26,6,28,19,25,44
108529,1,7,49,40,41,39
348328,11,9,50,30,32,40
55185,8,2,38,26,40,38
182694,3,8,54,40,44,37
152674,4,12,35,25,28,29
212954,5,6,52,30,52,32
70790,4,8,37,27,28,34
231888,8,7,56,33,41,40
33055,16,4,57,39,44,44
406755,3,6,40,25,28,36
1593,1,8,44,23,40,36
339091,2,7,50,36,53,39
8899,10,6,57,39,52,33
55727,5,6,50,35,44,32
177225,1,2,40,30,33,29
187407,1,4,24,18,23,0
57835,7,4,54,39,54,38
113231,6,3,43,29,32,31
260257,1,7,40,27,30,28
167706,1,2,34,23,31,33
11994,9,6,36,25,27,37
70554,3,4,61,42,46,21
177740,6,4,75,51,56,43
125462,1,8,29,23,23,29
212787,13,5,40,21,35,0
389183,7,4,53,41,43,37
244124,3,6,37,25,28,45
216730,1,4,34,28,27,38
182722,2,0,50,37,45,48
241190,3,3,24,18,22,27
23513,22,5,34,23,31,45
226747,6,7,37,27,34,42
109704,2,4,28,20,26,38
12892,32,12,33,23,28,46
247420,2,5,61,48,58,41
73824,5,4,44,30,40,42
295547,1,5,66,49,57,42
204326,1,1,54,37,49,30
13927,5,1,63,43,47,38
32660,1,5,44,32,46,37
224143,1,1,68,45,62,45
263336,7,9,37,30,30,36
246512,31,5,32,22,29,40
345714,2,3,44,30,33,30
152602,2,6,52,39,43,38
33356,1,1,63,43,57,36
119995,1,6,50,26,40,28
182746,12,5,32,24,30,40
38231,2,1,48,40,51,31
91831,3,3,40,33,35,39
182750,3,0,41,28,41,27
182751,7,3,60,47,63,41
350848,4,11,38,29,30,30
413589,1,1,69,47,55,20
204589,1,2,50,39,43,33
74666,13,5,54,37,49,38
409702,1,3,49,34,40,35
219955,2,1,66,45,65,38
206147,8,6,36,26,26,44
429863,3,7,41,28,31,29
166059,5,5,30,20,28,40
198968,3,2,58,51,53,29
231217,1,3,48,33,49,25
400061,3,6,51,35,46,28
187777,8,8,32,24,26,36
55001,1,8,68,22,59,30
350587,2,1,33,25,31,25
85994,2,5,30,22,36,41
114859,6,11,46,28,43,38
390038,1,9,44,32,37,43
140851,1,0,42,29,40,23
407540,8,4,57,40,56,42
357298,1,1,52,40,37,46
68458,2,6,26,18,24,39
182780,3,9,40,25,24,35
182781,23,3,41,28,35,43
170758,1,12,32,24,30,40
81816,3,4,41,28,38,40
52409,5,6,30,20,27,23
400127,4,5,45,34,40,37
114815,3,8,44,30,33,38
182788,4,3,55,40,48,28
182789,14,5,39,26,29,38
434374,1,2,40,30,34,36
405211,4,5,40,27,30,36
165173,7,7,29,23,27,35
216948,1,3,33,23,25,36
410525,2,6,47,31,41,43
16845,1,3,71,60,61,39
303876,2,3,23,18,19,34
390032,1,4,22,18,21,35
63393,4,1,35,25,30,43
182800,1,3,41,33,32,38
166182,3,10,49,38,42,46
433062,1,5,29,21,24,9
200494,1,2,100,68,75,33
182804,3,12,46,28,32,42
226346,2,5,48,27,44,38
58521,18,9,32,24,31,43
235761,13,5,30,20,29,33
267439,5,8,48,33,36,37
224767,25,10,40,27,30,43
88779,21,4,30,22,27,27
194418,1,2,28,21,23,36
316638,13,2,54,44,47,0
182813,7,9,44,30,34,38
422686,1,12,49,37,48,37
242104,3,6,31,21,28,26
140648,1,1,32,22,30,20
167585,9,2,60,50,53,0
66980,2,1,41,35,38,0
20906,2,8,48,33,38,46
12542,10,7,33,23,30,40
343200,8,3,48,33,44,30
107353,8,1,32,26,28,38
268605,2,2,56,38,51,37
27350,5,11,37,20,30,47
371573,3,4,37,25,30,19
52434,3,7,53,30,44,42
131908,2,11,37,27,27,33
22951,6,11,46,32,46,43
379539,2,1,55,45,51,34
398598,1,7,73,50,56,35
12790,8,3,56,38,42,31
182841,8,9,35,21,37,36
344033,16,4,44,30,33,44
92805,1,12,42,27,33,36
182844,16,7,35,24,32,48
424007,3,2,37,25,28,39
182846,1,0,52,35,40,29
93209,1,0,45,25,46,36
104400,2,2,58,38,47,43
385832,1,0,30,20,27,43
162798,1,8,32,25,25,37
16915,11,5,28,21,27,34
182852,1,1,32,22,30,30
138888,10,4,32,22,31,34
418510,1,7,37,26,29,35
203680,2,6,58,44,48,36
119264,6,4,47,34,42,35
52212,10,4,44,30,40,44
182858,4,4,48,26,37,49
405200,1,1,35,24,26,27
216169,7,4,63,50,63,40
157445,1,5,70,54,61,36
208839,6,4,50,34,48,36
133991,4,4,39,25,25,38
180793,4,11,68,46,51,18
28200,4,5,38,27,38,38
160622,16,3,34,26,31,30
9655,8,7,48,38,40,37
217490,5,1,47,39,53,42
179986,5,2,31,21,23,31
220599,1,1,67,45,50,22
283842,3,4,33,23,25,34
27140,16,4,30,20,27,43
153773,13,1,32,23,29,25
134402,6,3,43,29,33,34
175528,4,5,45,31,36,37
267773,2,0,44,30,33,35
344027,1,2,34,27,32,32
424028,1,6,45,38,41,33
39633,10,11,36,24,25,32
390018,4,2,51,35,47,36
182887,10,6,38,27,34,43
78608,7,10,30,24,33,37
389452,5,8,29,21,27,37
273758,10,8,44,29,40,37
175986,1,4,55,45,49,45
179236,4,5,47,36,42,42
69424,3,12,49,30,35,45
380372,1,5,53,35,55,28
383345,2,1,58,40,53,25
366164,2,7,48,34,50,36
178232,6,4,45,33,46,47
103214,1,7,50,30,40,42
428526,2,5,50,35,35,0
283814,2,4,40,24,35,37
400326,1,6,40,27,30,28
32901,7,7,36,28,31,44
59796,4,6,33,23,29,32
182905,2,3,55,30,48,33
182906,1,2,54,40,55,43
50475,1,3,45,27,37,36
328307,2,5,41,28,35,42
59456,3,11,51,35,38,44
182911,8,12,51,35,46,35
390012,10,7,40,20,34,44
394478,2,3,71,45,56,39
126978,13,3,52,37,52,37
279700,10,12,35,26,25,49
241674,7,1,53,36,42,28
203754,1,8,57,39,44,35
253265,2,12,31,20,28,38
82086,1,4,50,35,45,32
332461,4,10,44,35,38,38
75360,28,4,39,25,38,41
253246,6,9,74,56,65,37
412983,2,5,40,27,36,33
97050,1,5,35,28,32,39
313256,1,2,42,29,38,36
182926,2,5,57,37,45,27
132269,1,12,71,48,53,38
17275,28,5,31,21,28,49
182929,2,11,55,30,42,40
371791,6,8,36,25,29,20
180172,1,12,38,26,29,31
396900,2,5,50,39,41,36
370593,4,6,24,18,22,42
369540,1,2,25,18,23,23
390003,5,8,43,28,31,38
148246,8,2,34,18,37,37
288372,5,1,40,27,30,38
289140,6,6,45,22,43,43
57056,8,9,40,30,35,23
70928,13,3,50,41,56,32
101394,3,2,39,26,36,39
34263,9,3,52,40,50,40
177744,4,5,47,32,49,26
148726,15,5,48,35,36,48
216853,1,4,45,35,39,39
403662,2,3,91,62,68,36
55471,5,6,37,26,36,39
944,3,12,46,32,41,39
393854,1,3,55,35,51,33
85787,3,12,52,35,54,42
171381,3,3,39,27,29,40
389995,6,4,45,31,35,43
182955,5,2,31,23,31,23
182957,10,2,49,35,41,0
354468,3,0,63,43,48,33
203315,1,2,67,45,52,35
271523,2,5,50,34,45,43
281409,4,12,39,26,41,37
133644,1,1,48,38,41,37
24605,16,4,34,21,29,42
16446,2,8,38,29,29,30
136511,3,2,44,30,35,30
386228,4,10,43,33,36,41
49148,5,10,34,23,35,41
177240,1,6,35,24,26,22
10653,12,1,53,36,46,35
182970,2,4,33,23,30,29
14739,41,1,75,40,57,38
73000,4,5,30,24,27,34
37834,1,5,45,25,27,37
259020,16,6,34,23,32,45
390703,1,3,45,28,31,25
354180,5,4,30,18,25,43
386705,1,2,51,35,43,38
173912,1,3,52,33,52,43
361621,1,7,39,31,32,41
204070,3,3,39,26,39,29
118470,8,4,66,35,65,0
247614,5,5,37,27,32,0
220963,6,2,38,28,31,38
272017,6,7,43,28,42,0
275844,1,2,30,22,29,40
195262,5,2,35,26,26,0
214373,2,1,55,32,45,35
161614,2,6,48,34,36,42
149478,19,7,35,26,28,40
144876,2,2,39,22,35,36
337773,6,1,40,27,30,21
140726,1,6,65,53,58,41
215310,1,4,29,22,24,0
10183,11,6,42,29,40,42
147283,1,3,45,31,36,39
309761,2,8,35,28,29,37
311316,6,6,29,23,28,44
218864,1,4,40,30,35,0
76009,6,12,46,38,41,43
124225,3,5,28,20,24,20
174082,16,7,46,35,39,41
115386,2,7,45,28,36,33
60257,1,8,32,22,24,38
284827,2,6,36,30,33,31
333755,3,3,51,35,38,36
183012,2,4,50,31,41,32
258347,23,7,29,20,27,47
388235,3,7,52,35,39,38
236328,22,9,41,28,31,42
429844,1,4,45,35,37,0
303726,3,7,60,52,57,39
174093,16,6,35,25,32,39
280109,3,4,28,19,25,43
211682,5,5,33,23,25,29
20830,26,4,32,24,26,26
203416,3,9,39,26,29,38
189258,22,4,31,24,27,31
328833,6,4,33,23,32,31
183026,3,7,46,25,31,19
381557,1,2,50,29,35,32
85687,17,8,35,24,26,38
389975,3,4,40,27,30,47
38992,9,12,35,18,29,43
297935,1,12,49,34,37,36
143718,3,10,36,27,33,34
246656,5,5,39,25,32,41
183035,2,4,60,44,61,39
218186,2,1,60,41,45,35
124297,5,2,31,23,31,31
25068,11,10,36,25,27,42
287671,1,8,31,25,26,0
170622,9,6,38,26,27,47
344613,11,8,30,18,28,41
226709,2,5,33,25,29,31
200207,4,4,60,41,45,42
268181,12,4,37,26,34,45
333849,5,2,51,35,38,35
246857,3,2,26,18,24,35
103678,8,6,45,18,41,36
248494,1,1,55,37,41,34
390826,6,8,55,35,54,41
379431,2,0,37,31,34,43
345806,3,1,34,18,33,30
54459,3,3,64,44,59,41
183057,4,6,53,30,41,43
73222,1,7,48,35,46,41
410293,4,0,31,21,28,42
354767,3,6,39,26,29,33
16874,3,4,31,21,34,48
212697,5,4,69,47,52,39
234984,8,6,41,28,33,33
139900,4,2,28,21,26,34
354245,14,1,32,24,26,34
2348,3,5,27,20,25,27
183067,3,4,50,32,38,45
49710,23,6,40,30,43,40
157224,17,8,62,47,67,45
309483,2,8,26,18,24,38
221089,13,5,41,28,31,42
331852,2,7,93,64,72,32
265399,2,4,63,50,56,38
376445,2,5,32,24,26,36
37855,1,4,54,45,53,27
183076,57,4,51,35,38,36
413859,3,3,89,61,81,38
139700,3,9,34,24,24,41
217841,3,2,28,19,25,40
183080,2,3,44,29,44,41
139720,7,11,40,31,31,40
248719,7,6,43,21,42,49
273424,1,4,35,24,33,39
171958,1,4,31,25,25,31
159855,2,6,38,20,38,37
15165,21,12,38,26,40,48
94137,1,6,41,29,33,25
306309,4,4,33,23,25,30
24903,3,5,34,23,32,39
320172,5,2,33,23,30,33
184642,1,5,35,24,26,28
428651,2,1,58,43,50,40
201996,7,7,35,24,35,35
294895,3,2,26,18,26,35
285908,5,4,24,18,23,33
238045,2,4,50,35,43,38
183100,1,3,36,27,37,43
111083,1,3,27,21,22,0
183102,2,2,54,41,54,31
225769,9,10,50,40,54,40
115291,4,9,29,23,23,42
128464,2,11,44,26,44,41
85854,33,4,30,24,27,35
191103,1,6,33,22,23,40
234325,6,5,30,20,25,37
323934,1,1,51,45,47,39
48332,4,6,33,23,31,38
93693,3,1,38,31,32,39
152743,5,6,59,38,57,39
258100,1,2,50,40,44,25
349572,1,5,29,20,22,40
199492,1,0,65,57,61,24
282003,4,1,32,24,30,46
373507,2,2,28,18,26,40
174368,2,2,54,42,49,46
271380,2,2,42,29,38,43
21413,4,5,29,22,27,31
375057,6,2,32,21,31,30
423638,1,3,26,18,24,47
434770,1,6,42,27,36,37
256631,1,1,44,30,33,42
254888,8,9,38,28,32,43
380170,5,3,40,29,40,37
183130,7,3,25,18,25,40
226048,3,1,75,50,57,46
150964,3,6,26,20,23,45
231171,1,10,58,40,58,46
329986,2,0,48,33,44,39
183135,1,6,45,30,36,45
408234,3,8,33,23,30,38
183137,18,1,43,28,42,38
149912,8,7,33,23,29,44
309770,4,12,48,33,36,36
321158,1,4,56,44,51,34
27073,1,2,36,27,27,35
183142,2,3,39,27,41,37
34783,1,6,43,30,47,37
279830,5,2,52,35,47,36
389956,10,3,35,24,26,23
7043,12,3,35,18,28,25
37982,4,10,40,33,35,41
94813,36,6,41,25,36,41
56261,3,8,45,34,34,44
262499,1,4,46,26,36,30
130024,2,6,45,33,42,32
185787,3,12,35,25,25,43
98537,2,4,45,35,39,31
117076,3,3,59,40,60,41
73758,7,5,38,26,39,32
316571,3,1,35,24,32,37
24092,3,1,59,41,54,38
71084,5,1,51,35,48,41
145070,1,3,42,34,35,36
141241,3,4,56,48,57,39
226215,4,5,45,34,40,49
183162,6,3,52,30,52,40
200405,10,12,52,25,47,41
183164,3,1,60,50,56,41
234902,7,7,32,22,24,40
238249,33,8,38,27,44,40
124352,4,9,52,30,52,36
335467,4,2,46,32,43,37
183169,5,6,63,43,51,37
252314,2,5,40,26,36,43
183173,9,8,50,28,29,45
215480,1,9,27,21,21,33
394305,1,11,31,22,32,40
159405,3,12,39,29,32,39
146656,3,3,43,29,32,23
183181,3,6,35,27,28,41
183182,3,1,40,27,30,34
248354,29,3,29,21,29,34
67818,7,2,29,20,27,28
44794,11,3,46,25,49,40
183186,5,4,32,22,30,28
389940,1,4,68,55,60,37
170478,6,1,33,23,30,27
381374,11,7,51,35,38,38
69233,20,6,29,23,30,46
72115,2,3,43,29,32,49
263372,2,8,45,28,34,37
334711,11,7,46,28,31,43
369400,2,1,54,37,49,33
34818,1,2,30,24,28,39
183196,12,5,32,23,30,30
432425,1,5,46,39,46,33
183198,17,9,42,29,39,47
223614,4,4,70,60,68,37
347888,10,8,40,25,30,31
224978,2,5,43,35,40,39
382776,2,11,40,27,33,33
277402,1,4,30,20,28,29
155812,2,10,50,40,47,45
183207,2,2,36,25,27,30
183209,1,3,40,28,45,31
425859,2,8,36,27,29,31
9124,7,4,32,22,34,26
360292,5,12,36,23,25,43
183214,1,12,47,35,39,32
412788,1,3,48,35,50,42
389936,2,4,42,34,38,41
183318,8,5,43,34,36,37
404826,3,4,45,31,41,36
382863,3,4,35,25,26,39
83762,2,5,64,44,48,32
166720,2,9,60,48,52,38
140631,5,6,28,21,28,40
240425,14,8,34,23,31,32
289271,3,9,31,21,24,39
362783,4,5,36,27,29,38
162699,8,2,69,47,52,45
211903,1,4,28,19,25,35
389934,1,4,56,40,57,45
145033,5,6,28,19,25,36
161385,1,4,39,26,29,44
70700,6,6,44,32,34,47
235259,10,12,35,24,32,49
183236,1,1,41,28,32,48
186306,2,4,32,22,29,40
123978,3,2,26,18,24,44
183239,1,0,46,32,42,42
380376,6,5,28,21,24,34
275737,4,1,66,49,63,25
432195,1,1,80,55,60,40
183245,3,7,56,38,45,35
